Timestamp,I agree to participate in the research study. I understand the purpose and nature of this study and I am participating voluntarily as an anonymous user.,Your University (Optional),Your Gender,Your Batch,Your Field,Your CGPA,Is your university conducting online classes?,Which tool/equipment do you use to attend your online classes? (You may select more than one answers),How do you access the internet? (You may select more than one answer),Select any technological issue you face while attending an online class?,Select any non-technological issues you face while attending your online class?,"On a scale of 1 to 5, how much do you think your studies have been affected by the pandemic?",Do you think COVID-19 will have an impact on your future (career)?,Tell us briefly what impact do you think COVID-19 might have on your future (career)?,Did your university provide any help to ease your experience of online classes?,How did your university help you to ease your experience of online classes?,"On a scale of 1 to 5, how do you feel about the shift to online classes? ",What GPA do you expect in your current semester?,Would your GPA have been the same had the lockdown not happened?,Do you think the online classes  can become permanent in the near future?,Are you struggling while learning online as opposed to in-person learning?,Do you think that students who missed assignments/classes due to this pandemic should be compensated?,Has COVID-19 affected your relationship with your family?,Do you think that the lockdown has increased your workload?,"On a scale of 1 to 5, how productive have you been during the lock-down?",How many courses do you have?,"On a scale of 1 to 5, how many assignments, tasks, projects, etc. are you able to complete on their respective deadlines?","On a scale of 1 to 5, how professional do you think are these online classes to you?","Considering any and all problems you have at home, how much do you think you are able to learn from online classes?","Have you faced any medical conditions like nausea, headache, backache, eye pain, etc. due to online classes?","Would you prefer uploaded lectures on sites like YouTube over live learning on Zoom, MS Teams, etc.?",What grading criteria should be used in your point of view for online education?,"On a scale of 1 to 5, how understanding and cooperative has your family been during these classes?","On a scale of 1 to 5, how much are you affected mentally due to this lockdown/pandemic?","On a scale of 1 to 5, how stressed do you feel about online classes?","On a scale of 1 to 5, how much are you affected mentally due to this lockdown/pandemic?",Do you think conducting online classes during this lockdown would have been a better option?,Why do you think conducting online classes should have been a better option?
05/06/2020 03:43:05,Yes,Habib University,Female,Class of 2020,Science and Engineering,2.6 - 3.0,Yes,"Personal Laptop, Personal Phone",Wi-Fi Device,"Disconnection of internet, Slow internet speed, Electricity disruption","I don't have a dedicated work space at home, I am overwhelmed with sudden online learning, I get distracted due to the disturbance made by peers during online session, I am unable to concentrate and I zone-out during online session",4,Maybe,I am a final year student so FYP and other certain important things we do which help in future career are deprived.,Yes,"Pre-recorded lectures, Change in syllabus, Change in assessments",3,3.1 - 3.5,Maybe,No,No,Yes,Yes,Maybe,2,7 or more,1,3,4,Yes,Yes,Pass/Fail Semester,4,4,2,,,
05/06/2020 09:44:23,Yes,Habib University ,Male,Class of 2020,Science and Engineering,3.5 - 4.0,Yes,"Personal Laptop, Personal Phone",Wi-Fi Device,Disconnection of internet,"I don't have a dedicated work space at home, I am unable to concentrate and I zone-out during online session",4,Maybe,Delays in getting jobs. Job opportunities themselves may become scarcer. ,Yes,"Flexible attendance policies, Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",3,3.1 - 3.5,No,Maybe,No,Yes,Maybe,Yes,2,4 or less,4,4,3,No,No,Lower-scaled,4,4,3,,,
05/06/2020 15:04:29,Yes,Habib university,Male,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,"Personal Laptop, Personal Phone","Cable Network, Wi-Fi Device, Mobile Data on Phone","Disconnection of internet, Slow internet speed, Electricity disruption","I don't have a dedicated work space at home, I am overwhelmed with sudden online learning, I get distracted due to the disturbance made by peers during online session, I am unable to concentrate and I zone-out during online session",5,Yes,"Very limited work/job opportunities due to restraints

In future the experience in engineering problems will be another issue due to lack of hardware experimental setup.",Yes,"Flexible class timings, Pre-recorded lectures, Change in assessments, Provided the option to change the course grades to Pass/Fail",3,2.6 - 3.0,No,Yes,Yes,Yes,Yes,Yes,1,5 - 6,1,3,3,Yes,Maybe,Lower-scaled,3,5,4,,,
05/06/2020 19:53:28,Yes,,Male,Class of 2023,Science and Engineering,2.6 - 3.0,Yes,"Personal Desktop, Personal Laptop, Personal Phone","Wi-Fi Device, Portable 4G Device","Disconnection of internet, Slow internet speed",I am unable to concentrate and I zone-out during online session,3,Maybe,. ,Yes,"Flexible attendance policies, Pre-recorded lectures, Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",4,2.6 - 3.0,Maybe,Yes,Yes,Yes,No,Yes,3,4 or less,3,3,3,No,Maybe,Pass/Fail Semester,4,2,2,,,
06/06/2020 15:35:12,Yes,Neduet,Male,Class of 2020,Science and Engineering,3.5 - 4.0,Yes,Personal Phone,Cable Network,I don't face any issue,I am overwhelmed with sudden online learning,5,Yes,Job opportunities ,Yes,Pre-recorded lectures,3,3.1 - 3.5,No,No,Yes,Yes,No,Maybe,1,4 or less,1,1,1,No,Maybe,Lower-scaled,4,4,5,,,
06/06/2020 15:41:45,Yes,HU,Male,Class of 2020,Science and Engineering,3.5 - 4.0,Yes,"Personal Laptop, Personal Phone",Cable Network,I don't face any issue,I am overwhelmed with sudden online learning,4,Yes,"I'm sure it will, just not sure how. ",Yes,"Flexible attendance policies, Provided the option to change the course grades to Pass/Fail, Recorded all lectures",1,2.6 - 3.0,No,Maybe,Yes,Yes,No,No,2,4 or less,1,3,3,No,Maybe,Pass/Fail Semester,5,4,4,,,
06/06/2020 17:03:20,Yes,,Male,Class of 2021,Science and Engineering,3.5 - 4.0,Yes,"Personal Laptop, Personal Phone",Wi-Fi Device,"Slow internet speed, Electricity disruption",I am unable to concentrate and I zone-out during online session,3,Yes,In future there is probability of not getting jobs as most companies have already fired their employees,Yes,Pre-recorded lectures,3,3.5 - 4.0,Maybe,Maybe,No,Yes,No,No,2,5 - 6,3,2,3,Yes,Yes,Pass/Fail Semester,4,2,3,,,
06/06/2020 17:08:02,Yes,Habib University,Female,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,"Personal Laptop, Shared Laptop/Desktop",Wi-Fi Device,"Slow internet speed, Electricity disruption","I don't have a dedicated work space at home, I get distracted due to the disturbance made by peers during online session, I am unable to concentrate and I zone-out during online session",4,Yes,"Lots of really good companies have frozen their hiring procedures, gaps on CVS dont look good. Cannot ascertain how much it will impact my career, but I can already see the virtual job infrastructure look very different and to ease into it as a fresh graduate can be extremely difficult with, of course, the added pressure of family and friends concerned about 'Job mil gayi?'",Yes,"Flexible attendance policies, Provided the option to change the course grades to Pass/Fail",2,3.1 - 3.5,Yes,Maybe,Yes,Yes,Yes,Maybe,3,5 - 6,3,4,2,No,No,Lower-scaled,4,4,4,,,
06/06/2020 17:21:25,Yes,Szabist,Female,Class of 2021,Business,2.6 - 3.0,Yes,"Personal Laptop, Personal Phone","Wi-Fi Device, Mobile Data on Phone",Slow internet speed,"I am overwhelmed with sudden online learning, I am hesitant to ask questions during online session",4,Maybe,I think the kind of jobs offered will be different from previous as everything has shifted online ,No,"Pre-recorded lectures, Change in assessments, Provided the option to change the course grades to Pass/Fail",4,2.6 - 3.0,Maybe,Maybe,Yes,Yes,Yes,Yes,2,5 - 6,4,2,2,Yes,Maybe,Pass/Fail Semester,5,5,4,,,
06/06/2020 17:22:31,Yes,NED,Male,Class of 2023,Science and Engineering,3.5 - 4.0,Yes,Borrowed Laptop,"Wi-Fi Device, Mobile Data on Phone","Disconnection of internet, Slow internet speed, Electricity disruption",I am unable to concentrate and I zone-out during online session,5,Yes,Bad Result,Yes,Provided the option to change the course grades to Pass/Fail,5,2.6 - 3.0,Yes,Yes,Yes,Maybe,Yes,Yes,1,5 - 6,1,1,1,Yes,No,Pass/Fail Semester,5,5,5,,,
